trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.7, 'e': 0.3277227574378037}",30,20,9.63072471293829,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.3244455298634257}",25,11,-51.31638184993243,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.7, 'e': 0.3212010745647914}",20,4,-42.54485930823323,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.7, 'e': 0.3179890638191435}",30,3,20.81625509584929,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.31480917318095203}",25,16,1.654129379098802,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3116610814491425}",20,8,-0.38998374404836045,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.30854447063465107}",35,24,8.729413848801753,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.3054590259283046}",25,8,-13.871288272322914,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.7, 'e': 0.30240443566902153}",25,18,-0.1320866118543622,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.2993803913123313}",20,6,-1.3341684024518372,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.296386587399208}",35,0,-18.61707078497437,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.2934227215252159}",25,11,-38.70208885689422,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.7, 'e': 0.29048849430996376}",20,1,-33.606003383372226,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.7, 'e': 0.2875836093668641}",20,14,14.294961919180814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.28470777327319546}",20,6,23.077115371335772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.2818606955404635}",25,0,-53.150067504451016,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.7, 'e': 0.27904208858505886}",35,21,-21.892486196574897,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.7, 'e': 0.2762516676992083}",20,1,-6.452382735371422,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.2734891510222162}",25,11,-83.79205412737953,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
